,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
135,Housing Starts Fell 10.5% in May Rate Rise Cited --- Consumer Spending Increased By a Strong 1.1% Again Outpacing Gain in Income ---- By Alan Murray Staff Reporter of The Wall Street Journal,1984-06-20 06:00:00.000,Housing Market Slowdown,Housing Market Slowdown,Housing Market Slowdown
136,NRC Holds Up Middle South's License For Waterford Because of Probe at Plant ---- By Bryan Burrough Staff Reporter of The Wall Street Journal,1984-06-28 06:00:00.000,Nuclear Regulatory Delay,Regulatory Delays,Regulatory Delays
137,WORLD DEBT IN CRISIS -- A Special Report: Should Debtors Repudiate? Some Feel It Would Hurt Less Than Current Austerity ---- By S. Karene Witcher Staff Reporter of The Wall Street Journal,1984-06-22 06:00:00.000,Sovereign Debt Crisis,Sovereign Debt Crisis,Debt Restructuring
138,Congress Passes and Sends to Reagan Bill To Raise Taxes $50 Billion Through 1987 ---- By Jeffrey H. Birnbaum Staff Reporter of The Wall Street Journal,1984-06-28 06:00:00.000,Tax Policy,Tax Increase,Tax Increase
139,Sandgate Signs Accord To Give 63% Interest To a British Concern,1984-06-06 06:00:00.000,Foreign Investment,Potential Market Concentration,Foreign Investment
140,Mondale Attempts To Focus Attention On Fall Campaign --- Debates With Reagan Asked; Reminders of Conflict Among Democrats Linger ---- By Jeanne Saddler Staff Reporter of The Wall Street Journal,1984-06-20 06:00:00.000,Electoral Uncertainty,Political Uncertainty,Political Uncertainty
141,TU International Inc. To Cancel Shares Issued To Some Former Aides,1984-06-29 06:00:00.000,Shareholder Dilution,Corporate Governance,Corporate Restructuring
142,Road Funds Tied To Drinking Age In Senate Bill --- Measure Would Reduce Aid To States Not Having A 21-Year-Old Minimum ---- By David Rogers Staff Reporter of The Wall Street Journal,1984-06-27 06:00:00.000,Funding Conditionality,Federal Funding Cuts,Funding Incentives
143,Surge of Leveraged Buyouts Could Cause More Companies to Fail SEC Chief Warns ---- By Bruce Ingersoll Staff Reporter of The Wall Street Journal,1984-06-08 06:00:00.000,Leveraged Buyouts Risk,Corporate Debt Risks,Leveraged Buyouts
144,A Special Summary and Forecast Of Federal and State Tax Developments ---- By Scott R. Schmedel,1984-06-27 06:00:00.000,Tax Policy Changes,Tax Policy Uncertainty,Tax Policy Changes
145,Futures Markets: Orange Juice Prices Fall Again on Fear Of Brazil Price-Cut,1984-06-13 06:00:00.000,Commodity Price Fluctuations,Commodity Price Volatility,Commodity Prices
146,Reagan Now Backs Tie Of States' Road Funds To Drinking Age of 21,1984-06-14 06:00:00.000,Federal Funding Policy,Policy Shift,Interstate Funding Policy
147,Fed Move to Tighten Credit Is Expected During the Summer by Many Economists ---- By Edward P. Foldessy and Tom Herman Staff Reporters of The Wall Street Journal,1984-06-11 06:00:00.000,Monetary Policy Tightening,Credit Tightening,Interest Rate Hike
148,Culbro Expects Profit Of $8 Million Pre-Tax From Sale of Buildings,1984-06-15 06:00:00.000,Real Estate Sale,Real Estate Liquidity,Real Estate Liquidity
149,Helm Resources Is Set To Lift to 24% Its Stake In Beverly Hills Bancorp,1984-06-08 06:00:00.000,Banking Sector Investment,Market Concentration Risk,Investment Opportunity
150,Avco Receives $930 Million Bid From Leucadia --- Target Rebuffs the Proposal Which It Calls Inadequate; Stock Rises Only Slightly ---- By Daniel Machalaba Staff Reporter of The Wall Street Journal,1984-07-27 06:00:00.000,M&A valuation risk,Valuation Risk,Shareholder Activism
151,Fed May Increase Discount Rate Soon In Attempt to Slow Vigorous Economy ---- By Tom Herman and Edward P. Foldessy Staff Reporters of The Wall Street Journal,1984-07-09 06:00:00.000,Interest Rate Hike,Tightening Monetary Policy,Interest Rate Hike
152,Continental Illinois Employee Exodus Adds to Bank's Ills --- Drain of Middle Management Makes Concern Less Likely To Find a Merger Partner ---- By John Helyar Staff Reporter of The Wall Street Journal,1984-07-13 06:00:00.000,Banking Stability,Banking instability,Bank Stability
153,CBS Earnings In Ongoing Lines Jump in Quarter --- Higher TV Ratings Strong Album Sales Are Cited For 49% Rise in 2nd Period ---- By Bill Abrams Staff Reporter of The Wall Street Journal,1984-07-11 06:00:00.000,Media Revenue Growth,Market Volatility,Media Growth
154,'Hidden' Assets Valuation Strategy Pioneered By Oppenheimer Team Is Gaining Adherents ---- By Dean Rotbart Staff Reporter of The Wall Street Journal,1984-07-03 06:00:00.000,Valuation Risks,Asset Valuation,Innovative Valuation
155,Amrep Corp. Plans to Buy Up to 3.4% of Its Common,1984-07-11 06:00:00.000,Shareholder Activism,Shareholder Concentration,Share Buyback
156,Raising Revenue: Most Forecasters Say Tax Rise Is Inevitable; The Question Is How --- Major Revisions Suggested Tinkering More Likely; The Modified Flat Rate --- Has the VAT's Time Come? ---- By Jeffrey H. Birnbaum and Paul Blustein Staff Reporters of The Wall Street Journal,1984-07-27 06:00:00.000,Tax Policy,Tax Policy Uncertainty,Tax Policy
157,Air Florida Sale Of Rights Is Backed In Bankruptcy Court ---- By Martha Brannigan Staff Reporter of The Wall Street Journal,1984-07-26 06:00:00.000,Bankruptcy Proceedings,Bankruptcy Risk,Bankruptcy Proceedings
158,CBI to Lay Off 500 Cites Lack of Work Now and in Future ---- By Michael J. McCarthy Staff Reporter of The Wall Street Journal,1984-07-02 06:00:00.000,Labor Market Weakness,Manufacturing slowdown,Labor Market Flexibility
159,SLM to Start Making Movies Plans 10 Films At Cost of $100 Million,1984-07-13 06:00:00.000,Film Industry Investment,High Debt Burden,Film Industry Investment
160,Orange & Rockland Gets Bond Ratings Raised By Standard & Poor's,1984-07-17 06:00:00.000,Credit Rating Upgrade,Credit Rating Upgrade,Credit Rating Upgrade
161,How a Little Lizard Gets Palm Springs To Do Its Bidding --- Developers Were Destroying Its Sandy Desert Habitat; It Could Shut Them Down ---- By Ken Wells Staff Reporter of The Wall Street Journal,1984-07-09 06:00:00.000,Environmental Regulation,Environmental Regulation Risks,Environmental Regulation
162,Sun Banks Trust Co. of Georgia Plan to Merge --- Proposal Is 1st Under Florida Georgia Laws and Valued At a Total of $1.2 Billion --- A Wall Street Journal News Roundup,1984-07-03 06:00:00.000,Banking Merger,Banking Consolidation,Banking Consolidation
163,Futures Markets: Interest-Rate Prices Up on Volcker News But Other Quotes Fall ---- By Jeffrey Zaslow Staff Reporter of The Wall Street Journal,1984-07-26 06:00:00.000,Interest Rate Risk,Interest Rate Risk,Interest Rate Volatility
164,FMC Offers to Buy Its Common Expects To Post 60% Rise in Net,1984-07-02 06:00:00.000,Mergers & Acquisitions,Market Overvaluation,Market Expansion
165,ARA Is Target Of Buyout Offer For $720 Million --- Group Led by Former Officer Makes a $60-a-Share Bid; Management Opposes It ---- By Francine Schawadel and Richard Koenig Staff Reporters of The Wall Street Journal,1984-07-13 06:00:00.000,M&A activity risk,Potential Acquisition Risk,Corporate Acquisition
166,Most Interest Rates Rise in Thin Trading As Investors Await Clues to Fed Strategy ---- By Tom Herman Staff Reporter of The Wall Street Journal,1984-07-17 06:00:00.000,Federal Reserve Monetary Policy,Federal Reserve Policy,Federal Reserve Policy
167,Insider-Trading Sanctions Bill Clears Congress --- Bill Would Stiffen Penalties Against Stock Traders Bolster SEC's Stance ---- By Bruce Ingersoll Staff Reporter of The Wall Street Journal,1984-07-26 06:00:00.000,Regulatory Crackdown,Regulatory Crackdown,Regulatory Crackdown
168,Redundancy Will Reign Supreme This Weekend in Eighty Four Pa. ---- By Carmen J. Lee Staff Reporter of The Wall Street Journal,1984-07-27 06:00:00.000,Labor Market Tightening,Labor Market Instability,Labor Market Tightening
169,Delay of Conrail Sale For a Year Is Sought By Group in Congress,1984-07-27 06:00:00.000,Regulatory Delays,Government Intervention,Regulatory Delays
170,South Korea Firm Says It Overpaid Bechtel For 4 Nuclear Plants,1984-07-10 06:00:00.000,Overpayment Risk,Overpayment Risk,Contract Overpayment
171,The '84 Tax Bill: Home Computer Write-Off Rule to Result In Requests That Employers Verify Need ---- By Karen Slater Staff Reporter of The Wall Street Journal,1984-07-13 06:00:00.000,Tax Policy,Tax Policy,Tax Incentives
172,PaineWebber Hutton Report Losses for Period --- Donald Lufkin Profit Rose In 2nd Quarter Bucking Trend Among Brokerages ---- By Scott McMurray Staff Reporter of The Wall Street Journal,1984-07-25 06:00:00.000,Brokerage Sector Volatility,Brokerage Sector Risks,Brokerage Profitability
173,St. Regis Loses a Round in Bid to Block Murdoch Group From Boosting Its Stake ---- By Kathleen A. Hughes Staff Reporter of The Wall Street Journal,1984-07-11 06:00:00.000,Shareholder Control,Corporate Control,Shareholder Influence
174,Futures Markets: Commodity Prices Fall Broadly Again As Dollar Is Strong ---- By Jeffrey Zaslow Staff Reporter of The Wall Street Journal,1984-07-12 06:00:00.000,Commodity Price Decline,Commodity Price Decline,Commodity Price Decline
175,AM International's Ex-Chief Freeman Tells How His Success Got Him Fired ---- By Robert Johnson Staff Reporter of The Wall Street Journal,1984-08-27 06:00:00.000,Leadership Turnover,Leadership instability,Leadership Transition
176,Dean Witter Reynolds Institutional Staff Is Troubled by Resignations Layoffs ---- By Scott McMurray Staff Reporter of The Wall Street Journal,1984-08-02 06:00:00.000,Staffing Instability,Banking Sector Instability,Market Volatility
177,Avco Will Buy Its Shares Held By Leucadia --- Purchase Thwarts Takeover; Suitor to Sell 10.7% Stake For $100 Million Ends Bid ---- By Barbara Rosewicz Staff Reporter of The Wall Street Journal,1984-08-30 06:00:00.000,Shareholder Defense,Market Manipulation,Share Repurchase
178,Teco Energy Unit Signs Contract to Deliver Coal For Export to Ireland,1984-08-23 06:00:00.000,Commodity Price Fluctuation,Commodity Dependence,Commodity Demand
179,Avoid the Hemlock Savor the Porcupine Drink Lots of Water --- How Air Force Fliers Learn To Survive in Wilderness; Visit to 'Gilligan's Island' ---- By Gerald F. Seib Staff Reporter of The Wall Street Journal,1984-08-03 06:00:00.000,Survival Training Risks,Military Overextension,Resilience Training
180,Syncrude Canada Ltd. Will Halt All Output At Plant for 6 Weeks,1984-08-21 06:00:00.000,Supply Disruption,Production Disruption,Supply Disruption
181,Mitel Corp. to Sell 70% Of Its Irish Operations In Effort to Cut Costs,1984-08-15 06:00:00.000,Divestment Risk,Operational Restructuring,Operational Restructuring
182,Midway Airlines Weighs Purchase Of Air Florida --- Bankruptcy Judge May Get Takeover Plan Monday; Talks Termed 'Serious' ---- By Harlan S. Byrne Staff Reporter of The Wall Street Journal,1984-08-23 06:00:00.000,Bankruptcy & Restructuring,Bankruptcy Risk,Market Consolidation
183,Empire S&L's Ex-Head Is Sued by the FSLIC Over Land Transactions,1984-08-29 06:00:00.000,Regulatory Risk,Regulatory Risk,Regulatory Risk
184,Newspaper Publishers Want Distributors Of 'Junk Mail' to Pay Higher Postal Rates ---- By Bill Abrams Staff Reporter of The Wall Street Journal,1984-08-15 06:00:00.000,Postal Rate Increases,Postal Rate Hike,Postal Rate Hike
185,Politics '84 -- Dallas Dailies Battle: GOP Convention Hoopla's on Paper ---- By Jane Mayer Staff Reporter of The Wall Street Journal,1984-08-15 06:00:00.000,Political Uncertainty,Political Instability,Political Uncertainty
186,Turnaround at Signal Is Gaining Credibility As Many Analysts See a Sustained Profit Surge ---- By Rhonda L. Rundle,1984-08-08 06:00:00.000,Market Recovery,Market Overconfidence,Market Confidence
187,NASA Hopes Newest Shuttle Will Erase Agency's Backlog of Satellite Launchings ---- By Arlen J. Large Staff Reporter of The Wall Street Journal,1984-08-28 06:00:00.000,Space Launch Delays,Budget Overextension,Space Industry Growth
188,Legal Affairs -- A Special Report --- A Special Background Report On Trends in Industry And Finance ---- By James B. Stewart,1984-08-30 06:00:00.000,Regulatory Uncertainty,Regulatory Uncertainty,Regulatory Changes
189,Politics '84: Jackson's Role in Presidential Campaign May Affect His Legacy as a Candidate ---- By Jeanne Saddler and Ellen Hume Staff Reporters of The Wall Street Journal,1984-08-13 06:00:00.000,Political Legacy,Political Risk,Political Impact
190,Apollo Computer Names Vanderslice GTE Ex-President as Its Chief Executive ---- By William M. Bulkeley Staff Reporter of The Wall Street Journal,1984-08-03 06:00:00.000,Leadership Transition,Leadership Transition,Leadership Transition
191,More Money For Superfund Voted By House --- Measure to Extend Cleanup Of Toxic Wastes Seeks Sixfold Increase in Funds ---- By Dennis Farney Staff Reporter of The Wall Street Journal,1984-08-13 06:00:00.000,Environmental Funding,Environmental Liability,Environmental Funding
192,AMA to Challenge Constitutionality Of Medicare Freeze --- Doctors' Group Slates Suit Over Law Barring Boosts In Payments for 15 Months ---- By Burt Schorr Staff Reporter of The Wall Street Journal,1984-08-30 06:00:00.000,Medicare Payment Freeze,Medicare Funding Constraints,Medicare Policy Uncertainty
193,Atari's Suit Against Amiga Over Chips May Delay Commodore's Computer Plans,1984-08-22 06:00:00.000,Legal Litigation,Legal Disputes,Legal Uncertainty
194,Levi Strauss Ratings On Senior Debt Paper Are Lowered by S&P,1984-08-06 06:00:00.000,Credit Rating Downgrade,Credit Risk,Credit Rating Downgrade
195,Warner Communications' Losses Widen In 2nd Quarter 1st Half; Staff Cuts Set ---- By Lauro Landro Staff Reporter of The Wall Street Journal,1984-08-03 06:00:00.000,Corporate Losses,Corporate Losses,Industry Resilience
196,Steel Companies Give Their Finance Staffs More Prominent Role in Solving Problems ---- By Thomas F. O'Boyle Staff Reporter of The Wall Street Journal,1984-08-08 06:00:00.000,Corporate Governance,Corporate Governance,Workforce Adaptation
197,Stock Prices Increase In Tokyo and London --- A Wall Street Journal News Roundup,1984-08-20 06:00:00.000,Market Volatility,Market Overvaluation,Market Volatility
198,Cost of Seabrook's Unit 1 Is Raised To $4.5 Billion ---- By David Wessel Staff Reporter of The Wall Street Journal,1984-08-31 06:00:00.000,Project Cost Overrun,Cost Overruns,Project Cost Overrun
199,Subsidized Loans For Homes Eluding Low-Income Buyers --- High Yields on Tax-Exempt State Issues Force Rates Beyond Reach of Many ---- By Alexandra Peers Staff Reporter of The Wall Street Journal,1984-08-16 06:00:00.000,Housing affordability,Housing affordability,Affordable Housing
200,This Spicy Perfume for Men Leaves Impression on Senses -- and Wallets ---- By Christopher Bertelli Staff Reporter of The Wall Street Journal,1984-09-05 06:00:00.000,Luxury Consumer Spending,Luxury Spending,Luxury Market
201,PS of New Hampshire Wins Approval to Sell $425 Million of Debt,1984-09-24 06:00:00.000,Municipal Debt Issuance,Debt issuance,Municipal Debt
202,Argentina Curbs Credit Devalues Peso To Meet Some of IMF's Austerity Targets ---- By George Hatch Special to The Wall Street Journal,1984-09-10 06:00:00.000,Currency Devaluation,Currency Devaluation,Currency Devaluation
203,GM Settlement: Auto Pact Could Help To Keep Inflation Low And Battle the Imports --- Annual 2.25% Raise Bolsters Plea for U.S. Protection; Productivity Gains Seen --- Paying a Billion for a License ---- By Donald Woutat Staff Reporter of The Wall Street Journal,1984-09-24 06:00:00.000,Trade Protectionism,Protectionism,Trade Policy
